    34 18250
   -0.203149E+00   -0.134119E+02   -0.286745E+01   -0.359091E+01
   -0.211611E+00   -0.134119E+02   -0.286745E+01   -0.302399E+01
   -0.220269E+00   -0.134119E+02   -0.286745E+01   -0.245708E+01
   -0.228803E+00   -0.134119E+02   -0.286745E+01   -0.189016E+01
   -0.236631E+00   -0.134119E+02   -0.286745E+01   -0.132324E+01
   -0.242947E+00   -0.134119E+02   -0.286745E+01   -0.756323E+00
   -0.246928E+00   -0.134119E+02   -0.286745E+01   -0.189405E+00
   -0.247992E+00   -0.134119E+02   -0.286745E+01    0.377512E+00
   -0.245976E+00   -0.134119E+02   -0.286745E+01    0.944430E+00
   -0.241183E+00   -0.134119E+02   -0.286745E+01    0.151135E+01
   -0.234284E+00   -0.134119E+02   -0.286745E+01    0.207827E+01
   -0.226083E+00   -0.134119E+02   -0.286745E+01    0.264518E+01
   -0.217283E+00   -0.134119E+02   -0.286745E+01    0.321210E+01
   -0.208365E+00   -0.134119E+02   -0.286745E+01    0.377902E+01
   -0.213546E+00   -0.134119E+02   -0.230053E+01   -0.302399E+01
   -0.221887E+00   -0.134119E+02   -0.230053E+01   -0.245708E+01
   -0.230075E+00   -0.134119E+02   -0.230053E+01   -0.189016E+01
   -0.237614E+00   -0.134119E+02   -0.230053E+01   -0.132324E+01
   -0.243785E+00   -0.134119E+02   -0.230053E+01   -0.756323E+00
   -0.247817E+00   -0.134119E+02   -0.230053E+01   -0.189405E+00
   -0.249135E+00   -0.134119E+02   -0.230053E+01    0.377512E+00
   -0.247544E+00   -0.134119E+02   -0.230053E+01    0.944430E+00
   -0.243281E+00   -0.134119E+02   -0.230053E+01    0.151135E+01
   -0.236923E+00   -0.134119E+02   -0.230053E+01    0.207827E+01
   -0.229172E+00   -0.134119E+02   -0.230053E+01    0.264518E+01
   -0.220657E+00   -0.134119E+02   -0.230053E+01    0.321210E+01
   -0.211839E+00   -0.134119E+02   -0.230053E+01    0.377902E+01
   -0.214170E+00   -0.134119E+02   -0.173361E+01   -0.302399E+01
   -0.221860E+00   -0.134119E+02   -0.173361E+01   -0.245708E+01
   -0.229308E+00   -0.134119E+02   -0.173361E+01   -0.189016E+01
   -0.236157E+00   -0.134119E+02   -0.173361E+01   -0.132324E+01
   -0.241863E+00   -0.134119E+02   -0.173361E+01   -0.756323E+00
   -0.245802E+00   -0.134119E+02   -0.173361E+01   -0.189405E+00
   -0.247461E+00   -0.134119E+02   -0.173361E+01    0.377512E+00
   -0.246599E+00   -0.134119E+02   -0.173361E+01    0.944430E+00
   -0.243312E+00   -0.134119E+02   -0.173361E+01    0.151135E+01
   -0.237970E+00   -0.134119E+02   -0.173361E+01    0.207827E+01
   -0.231082E+00   -0.134119E+02   -0.173361E+01    0.264518E+01
   -0.223158E+00   -0.134119E+02   -0.173361E+01    0.321210E+01
   -0.214639E+00   -0.134119E+02   -0.173361E+01    0.377902E+01
   -0.213763E+00   -0.134119E+02   -0.116669E+01   -0.302399E+01
   -0.220640E+00   -0.134119E+02   -0.116669E+01   -0.245708E+01
   -0.227164E+00   -0.134119E+02   -0.116669E+01   -0.189016E+01
   -0.233143E+00   -0.134119E+02   -0.116669E+01   -0.132324E+01
   -0.238256E+00   -0.134119E+02   -0.116669E+01   -0.756323E+00
   -0.242085E+00   -0.134119E+02   -0.116669E+01   -0.189405E+00
   -0.244206E+00   -0.134119E+02   -0.116669E+01    0.377512E+00
   -0.244309E+00   -0.134119E+02   -0.116669E+01    0.944430E+00
   -0.242276E+00   -0.134119E+02   -0.116669E+01    0.151135E+01
   -0.238200E+00   -0.134119E+02   -0.116669E+01    0.207827E+01
   -0.232351E+00   -0.134119E+02   -0.116669E+01    0.264518E+01
   -0.225118E+00   -0.134119E+02   -0.116669E+01    0.321210E+01
   -0.216940E+00   -0.134119E+02   -0.116669E+01    0.377902E+01
   -0.218741E+00   -0.134119E+02   -0.599774E+00   -0.245708E+01
   -0.224409E+00   -0.134119E+02   -0.599774E+00   -0.189016E+01
   -0.229607E+00   -0.134119E+02   -0.599774E+00   -0.132324E+01
   -0.234237E+00   -0.134119E+02   -0.599774E+00   -0.756323E+00
   -0.238076E+00   -0.134119E+02   -0.599774E+00   -0.189405E+00
   -0.240776E+00   -0.134119E+02   -0.599774E+00    0.377512E+00
   -0.241930E+00   -0.134119E+02   -0.599774E+00    0.944430E+00
   -0.241174E+00   -0.134119E+02   -0.599774E+00    0.151135E+01
   -0.238316E+00   -0.134119E+02   -0.599774E+00    0.207827E+01
   -0.233407E+00   -0.134119E+02   -0.599774E+00    0.264518E+01
   -0.226749E+00   -0.134119E+02   -0.599774E+00    0.321210E+01
   -0.218814E+00   -0.134119E+02   -0.599774E+00    0.377902E+01
   -0.210124E+00   -0.134119E+02   -0.599774E+00    0.434594E+01
   -0.221594E+00   -0.134119E+02   -0.328567E-01   -0.189016E+01
   -0.226294E+00   -0.134119E+02   -0.328567E-01   -0.132324E+01
   -0.230698E+00   -0.134119E+02   -0.328567E-01   -0.756323E+00
   -0.234723E+00   -0.134119E+02   -0.328567E-01   -0.189405E+00
   -0.238052E+00   -0.134119E+02   -0.328567E-01    0.377512E+00
   -0.240160E+00   -0.134119E+02   -0.328567E-01    0.944430E+00
   -0.240463E+00   -0.134119E+02   -0.328567E-01    0.151135E+01
   -0.238536E+00   -0.134119E+02   -0.328567E-01    0.207827E+01
   -0.234283E+00   -0.134119E+02   -0.328567E-01    0.264518E+01
   -0.227971E+00   -0.134119E+02   -0.328567E-01    0.321210E+01
   -0.220127E+00   -0.134119E+02   -0.328567E-01    0.377902E+01
   -0.211362E+00   -0.134119E+02   -0.328567E-01    0.434594E+01
   -0.223404E+00   -0.134119E+02    0.534061E+00   -0.132324E+01
   -0.227833E+00   -0.134119E+02    0.534061E+00   -0.756323E+00
   -0.232155E+00   -0.134119E+02    0.534061E+00   -0.189405E+00
   -0.236037E+00   -0.134119E+02    0.534061E+00    0.377512E+00
   -0.238845E+00   -0.134119E+02    0.534061E+00    0.944430E+00
   -0.239843E+00   -0.134119E+02    0.534061E+00    0.151135E+01
   -0.238469E+00   -0.134119E+02    0.534061E+00    0.207827E+01
   -0.234560E+00   -0.134119E+02    0.534061E+00    0.264518E+01
   -0.228393E+00   -0.134119E+02    0.534061E+00    0.321210E+01
   -0.220547E+00   -0.134119E+02    0.534061E+00    0.377902E+01
   -0.211701E+00   -0.134119E+02    0.534061E+00    0.434594E+01
   -0.202456E+00   -0.134119E+02    0.534061E+00    0.491285E+01
   -0.220669E+00   -0.134119E+02    0.110098E+01   -0.132324E+01
   -0.225243E+00   -0.134119E+02    0.110098E+01   -0.756323E+00
   -0.229827E+00   -0.134119E+02    0.110098E+01   -0.189405E+00
   -0.234050E+00   -0.134119E+02    0.110098E+01    0.377512E+00
   -0.237215E+00   -0.134119E+02    0.110098E+01    0.944430E+00
   -0.238521E+00   -0.134119E+02    0.110098E+01    0.151135E+01
   -0.237368E+00   -0.134119E+02    0.110098E+01    0.207827E+01
   -0.233592E+00   -0.134119E+02    0.110098E+01    0.264518E+01
   -0.227494E+00   -0.134119E+02    0.110098E+01    0.321210E+01
   -0.219682E+00   -0.134119E+02    0.110098E+01    0.377902E+01
